[2025-06-20 10:14:58 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:14:59 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:20:13 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:20:13 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:20:13 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:25:27 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:25:27 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:25:28 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:30:24 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:30:24 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:30:24 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=footer has been purged, triggered by action: save_post 
[2025-06-20 10:31:02 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:31:02 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:31:02 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:36:44 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:36:44 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:36:44 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:38:45 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:38:45 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:38:45 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:38:54 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:38:54 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:38:54 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
[2025-06-20 10:40:57 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 10:40:57 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 10:40:57 : INFO] - Cache for URL: http://localhost/smartco/?elementskit_template=header-2 has been purged, triggered by action: save_post 
[2025-06-20 10:43:22 : INFO] - Cache for URL: http://localhost/smartco/ has been purged, triggered by action: save_post 
